央视,#genre#
风尚河南,http://39.134.221.58:80/wh7f454c46tw3677637543_1718420860/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226446/index.m3u8
三门峡综合,http://39.134.221.28:80/wh7f454c46tw3784645023_1019633640/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226381/index.m3u8
灵宝综合,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
移动电视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226871/index.m3u8

卫视,#genre#
浙江卫视高清,http://39.134.221.64:80/wh7f454c46tw3680627640_-38819400/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
东方卫视高清,http://39.134.221.34:80/wh7f454c46tw3684617396_-507381513/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
湖南卫视高清,http://39.134.221.60:80/wh7f454c46tw3721660790_-615986610/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
江苏卫视高清,http://111.7.154.164:80/wh7f454c46tw3688635772_500901372/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
广东卫视高清,http://111.7.154.132:80/wh7f454c46tw3694626759_-991722593/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
北京卫视高清,http://39.134.221.76:80/wh7f454c46tw3691652595_-297438374/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226452/index.m3u8
山东卫视高清,http://111.7.154.150:80/wh7f454c46tw3700695801_533816029/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
安徽卫视高清,http://111.7.154.169:80/wh7f454c46tw3703638891_281825937/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226455/index.m3u8
辽宁卫视高清,http://39.134.221.40:80/wh7f454c46tw3706631637_1754558243/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
陕西卫视高清,http://111.7.154.162:80/wh7f454c46tw3709660282_457943954/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226458/index.m3u8
贵州卫视高清,http://111.7.154.164:80/wh7f454c46tw3712635786_677779382/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
河北卫视高清,http://111.7.154.142:80/wh7f454c46tw3715636318_679311615/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
江西卫视高清,http://111.7.154.142:80/wh7f454c46tw3718637355_340396380/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
黑龙江卫视高清,http://111.7.154.171:80/wh7f454c46tw3697626675_1471038564/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226453/index.m3u8
深圳卫视高清,http://39.134.221.74:80/wh7f454c46tw3725658804_1141792671/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226426/index.m3u8
四川卫视高清,http://39.134.221.76:80/wh7f454c46tw3728636288_764093247/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226429/index.m3u8
湖北卫视高清,http://111.7.154.168:80/wh7f454c46tw3731639539_1473295323/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
天津卫视高清,http://111.7.154.163:80/wh7f454c46tw3734650899_-1963615032/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
云南卫视高清,http://111.7.154.152:80/wh7f454c46tw3737638296_414486257/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
重庆卫视高清,http://39.134.221.6:80/wh7f454c46tw3740669790_-696731732/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226420/index.m3u8
吉林卫视高清,http://111.7.154.164:80/wh7f454c46tw3743656277_-1838587721/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
广西卫视高清,http://39.134.221.12:80/wh7f454c46tw3746663355_691581160/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226416/index.m3u8
山西卫视高清,http://39.134.221.74:80/wh7f454c46tw3749637660_1851699562/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
海南卫视高清,http://39.134.221.8:80/wh7f454c46tw3752629861_1828737982/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226417/index.m3u8
山西卫视高清,http://111.7.154.145:80/wh7f454c46tw3755636253_1986280475/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
海南卫视高清,http://39.134.221.9:80/wh7f454c46tw3757659257_-1651939142/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226417/index.m3u8
甘肃卫视高清,http://39.134.221.53:80/wh7f454c46tw3759649951_1993900200/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226415/index.m3u8
青海卫视高清,http://39.134.221.7:80/wh7f454c46tw3763644908_1955439668/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226414/index.m3u8
金鹰卡通,http://111.7.154.140:80/wh7f454c46tw3765633731_-415021696/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226413/index.m3u8
嘉佳卡通,http://111.7.154.135:80/wh7f454c46tw3768657707_-1167310540/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226412/index.m3u8
卡酷卡通,http://39.134.221.46:80/wh7f454c46tw3771666172_1145423135/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226411/index.m3u8
炫动卡通,http://39.134.221.77:80/wh7f454c46tw3773636156_-1946514050/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226410/index.m3u8
新疆卫视高清,http://39.134.221.8:80/wh7f454c46tw3776653204_-1977384786/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
西藏卫视高清,http://39.134.221.52:80/wh7f454c46tw3779647127_198263008/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226408/index.m3u8
优曼卡通,http://39.134.221.7:80/wh7f454c46tw3782672171_-674832309/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8

VIP,#genre#
CHC家庭电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226462/index.m3u8#
CHC高清电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226463/index.m3u8
CHC动作电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8#http://39.134.18.82/dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226465/index.m3u8



动漫秀场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226325/index.m3u8

都市剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226324/index.m3u8

法制天地,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226340/index.m3u8

国学频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226493/index.m3u8

调解剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8

欢笑剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8



金色学堂,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226332/index.m3u8




全纪实,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226536/index.m3u8

生活时尚,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226570/index.m3u8
陶瓷,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226355/index.m3u8

体育赛事,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226357/index.m3u8

游戏风云,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226328/index.m3u8

NewTV动作电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226329/1.m3u8
NewTV古装剧场,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226323/1.m3u8
NewTV家庭剧场,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226330/1.m3u8
NewTV惊悚悬疑,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225921/1.m3u8
NewTV惊悚悬疑,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226423/1.m3u8
NewTV明星大片,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225929/1.m3u8
NewTV明星大片,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226425/1.m3u8
NewTV武搏世界,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226320/1.m3u8
NewTV海外剧场,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226325/1.m3u8
NewTV潮妈辣婆,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226286/1.m3u8
NewTV炫舞未来,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226248/1.m3u8
NewTV爱情喜剧,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226322/1.m3u8
NewTV精品体育,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226328/1.m3u8
NewTV精品大剧,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226331/1.m3u8
NewTV精品纪录,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226332/1.m3u8
NewTV超级体育,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226232/1.m3u8

NewTV超级电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226233/1.m3u8

NewTV超级电视剧,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226253/1.m3u8

NewTV超级综艺,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226231/1.m3u8

NewTV金牌综艺,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226347/1.m3u8
NewTV中国功夫,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226321/1.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225571/index.m3u8
NewTV怡伴健康,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226327/1.m3u8
NewTV军事评论,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226326/1.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225570/index.m3u8
NewTV军旅剧场,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226324/1.m3u8
NewTV农业致富,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226304/1.m3u8
SiTV欢笑剧场,http://111.26.225.22/PLTV/2/224/3221225849/index.m3u8
SiTV极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226195/index.m3u8

SiTV欢笑剧场,http://39.134.39.39/PLTV/88888888/224/3221226203/index.m3u8
SiTV游戏风云,http://39.134.39.39/PLTV/88888888/224/3221226187/index.m3u8

SiTV都市剧场,http://39.134.39.39/PLTV/88888888/224/3221226176/index.m3u8


上海纪实人文,http://117.136.154.98/PLTV/88888888/224/3221225695/index.m3u8
黑莓电影,http://117.136.154.86/PLTV/88888888/224/3221225557/index.m3u8
黑莓电影,http://117.136.154.98/PLTV/88888888/224/3221225711/index.m3u8
黑莓电竞,http://117.136.154.86/PLTV/88888888/224/3221225575/index.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225931/1.m3u8

求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226114/index.m3u8


求索探秘,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226115/index.m3u8
超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
